Designator,Footprint,Quantity,Value,LCSC Part #
A1,LattePanda_Module_H8.0mm_Horizontal,1,LattePanda_Mu,
BT1,Battery_Holder_CR1220_S8411-45R,1,Battery_Cell,
"C100, C101, C111, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99",0402,13,0.1u,
"C102, C103, C104, C105, C106, C107, C108, C109, C113, C114, C115, C116, C117, C118, C119, C120",0402,16,.01uF,
C110,0805,1,10u,
C112,0402,1,15p,
C121,0402,1,22uF/6.3V,C105226
C122,0402,1,0.1uF/16V,C83056
"C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C45, C48, C52, C54, C58, C60, C70, C71, C78, C79, C84",0402,35,100nF/50V,
"C31, C32, C64, C65, C67, C68, C74, C75, C76, C77, C80, C81, C82, C83, C86, C87, C88, C89",0603,18,22uF/10V,
"C44, C51, C53, C57, C59",0402,5,10uF/10V,
"C46, C47",0402,2,12pF/50V,
"C49, C50, C55, C56",0402,4,220nF/50V,
"C61, C66, C69",0402,3,1uF/16V,
"D1, D10, D11, D2, D21, D25, D3, D5, D6, D7, D8",0402,11,ESD5V0B03,
"D12, D13, D14",0402,3,PESD24VS1UL-N,
"D15, D16, D17, D18, D19, D20",D_SMA,6,SS54,
"D22, D9",0603,2,LED_G,
D24,D_SOD-323,1,3V3 Izt=5mA,
"D26, D4",D_SOD-323,2,1N5819WS,
D78,0603,1,LED Yellow,
D79,D_SOD-923,1,D_Schottky,C239637
F1,0603,1,6V/50mA,
"F4, F5",0805,2,6V/2A,
"F78, F79, F80, F81",0805,4,6V/1A,
"H5, H6",MountingHole_3mm_M2_Pad_TopOnly,2,MountingHole_Pad,
"J1, J10, J11, J14, J8",PinHeader_1x03_P2.54mm_Vertical,5,Conn_01x03_Pin,
"J12, J13, J7, J9",PinHeader_1x04_P2.54mm_Vertical,4,Conn_01x04_Pin,
J15,PCIe_M.2_Connectors_P=0.5mm_H=4.2mm_KeyM,1,Bus_M.2_Socket_M,
J16,PCIe_M.2_Connectors_P=0.5mm_H=4.2mm_KeyE,1,Bus_M.2_Socket_E,
J17,DC_Jack_DC007B_30V_10A,1,Barrel_Jack_Switch,
J18,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0,
J3,HDMI_A_Molex_208658-1001_Horizontal,1,HDMI_A,
J6,RJ45_UDE_RB1-125B8G1A,1,RJ45_RB1-125B8G1A,
"J78, J80",USB3_A_Receptacle_Wuerth_692122030100,2,USB3_A,
"J79, J81",USB_C_Receptacle_G-Switch_GT-USB-7010ASV,2,USB_C_Receptacle_USB2.0_16P,
"J82, J83",USB_A_Receptacle_GCT_USB1046,2,USB_A,
"J84, J85, J86, J87",CONN_67800-5005_MOL,4,678005005,
J88,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,PZ2.54-1*3
JP1,PinHeader_1x03_P2.54mm_Vertical,1,Jumper_3_Bridged12,
"L1, L2",L_Sunlord_SWPA4020S,2,2.2uH/4.3A,
L78,1008,1,4.7u,
M1,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Fan_4pin,
"Q1, Q8",SOT-23,2,2N7002,
"Q2, Q3, Q4",SOT-23,3,2SK3018,
"R1, R11, R37, R47",0402,4,1K/1%,
"R10, R13, R14, R16, R17, R24, R25, R7, R8, R9",0402,10,470R/1%,
"R15, R18, R19, R3, R30, R5, R52, R53",0402,8,2.2K/1%,
"R2, R95",0402,2,10K/1%,C60490
"R20, R21, R34, R35, R36, R49, R58, R78, R79",0402,9,10K/1%,
R22,0603,1,2.49K/1%,
"R23, R4",0402,2,1M/1%,
"R27, R29, R32, R33",0402,4,0R/1%,
R43,0402,1,24K/1%,
"R46, R48, R55, R69",0402,4,100R/1%,
"R51, R76, R77",0402,3,100K/1%,
R57,0402,1,75K/1%,
"R59, R6, R68",0402,3,21.5K/1%,
"R60, R72",0402,2,4.7K/1%,
"R80, R81, R82, R83",0402,4,5.1K,
"R84, R86",0402,2,12K1 1%,
R85,0402,1,4K7,
R87,0402,1,1K,
R88,0402,1,0R,C325377
"R89, R90, R91, R92, R93",0402,5,15R/1%,C138052
R94,0402,1,120K/1%,C93945
"SW1, SW2",SW_Push_6x6x6,2,SW_Push,
"TP2, TP78, TP79, TP80",TestPoint_Pad_D1.5mm,4,TestPoint,
"U1, U2",Diodes_UDFN-10_1.0x2.5mm_P0.5mm,2,TPAZ1023-04F,
"U10, U11, U12, U3, U4, U5, U9",Diodes_UDFN-10_1.0x2.5mm_P0.5mm,7,ULC0524P,
U14,ESSOP-10-1EP_3.9x5mm_P1.0mm_EP3.2x2.3,1,CH224K,
"U15, U16",TSOT-23-6,2,SY8253ADC,
U6,QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm,1,RTL8111H-CG-RH,
U78,QFN-48_L7.0-W7.0-P0.50-BL-EP4.1,1,ASM1061,C2835235
U79,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25MHz,
Y78,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
